Year,Armadale,Bassendean,Bayswater,Belmont,Cambridge,Canning,Claremont,Cockburn,Cottesloe,East Fremantle,Fremantle,Gosnells,Joondalup,Kalamunda,Kwinana,Melville,Mosman Park,Mundaring,Nedlands,Peppermint Grove,Perth,Rockingham,Serpentine-Jarrahdale,South Perth,Stirling,Subiaco,Swan,Victoria Park,Vincent,Wanneroo
1911,1327,987,1790,1088,Perth,1207,4222,734,2704,3017,14499,737,Wanneroo,14499,Rockingham,565,1704,2716,1230,1043,35767,161,1454,1197,5066,8926,6982,Perth,Perth,197
1921,2251,2736,2392,1866,Perth,2006,5511,1278,3221,4423,17566,1936,Wanneroo,17566,Rockingham,2360,3221,3296,3557,1110,64166,477,1181,2960,12043,13647,9188,Perth,Perth,312
1933,3585,3803,4138,3139,Perth,3208,5946,2221,3628,5118,16998,3016,Wanneroo,16998,Rockingham,4628,3628,4975,10580,1428,82290,1014,1674,8731,19987,16809,10948,Perth,Perth,694
1947,4253,5243,6453,5712,Perth,5203,7769,3049,5442,6197,18791,4405,Wanneroo,18791,Rockingham,7547,5442,6072,18226,1474,98890,1780,1709,15266,30989,18789,13446,Perth,Perth,947
1954,5753,7152,14555,15820,Perth,13419,8643,5047,6199,6372,22795,7366,Wanneroo,22795,2801,19810,6199,7619,22814,1468,97350,2656,1833,21214,50090,17642,17996,Perth,Perth,1299
1961,6469,8310,19296,20393,Perth,17701,8601,7827,5862,6542,21980,7524,Wanneroo,21980,4663,39207,5862,8104,23218,1502,94508,2583,1830,29941,84045,16033,18653,Perth,Perth,1732
1966,7840,9747,26112,26978,Perth,23604,8938,13847,5793,6908,25284,11374,Wanneroo,25284,5777,47887,5793,8925,23320,1602,96223,4383,1728,32042,114410,16621,19135,Perth,Perth,2437
1971,15644,11360,34261,32656,Perth,35382,9179,25011,7997,7325,26036,22040,Wanneroo,26036,12224,52976,7199,12018,22878,1511,97546,11608,1981,31702,154882,17119,25682,Perth,Perth,8620
1976,25823,11382,38302,31531,Perth,43337,8629,29492,7366,6452,23497,40422,Wanneroo,23497,13687,54384,6760,16867,20974,1587,87598,17224,3753,30388,162313,15271,26932,Perth,Perth,55328
1981,36116,11807,38526,29855,Perth,52816,8193,31705,6750,6169,22484,52419,Wanneroo,22484,13623,61211,7018,20786,20257,1540,79398,24740,5039,31524,161858,14139,31859,Perth,Perth,93611
1986,41248,12836,41331,28867,Perth,60736,7397,40711,6628,5678,22709,60610,Wanneroo,22709,14025,67131,6688,24415,18623,1243,79409,31595,6470,32626,164687,14826,37383,Perth,Perth,126053
1991,46716,13109,43810,26744,22740,65697,8822,50217,7205,6398,23687,69342,122152,23687,17242,84369,7254,29184,20210,1453,79422,41749,8033,34007,172064,14971,52968,24313,24765,45024
1996,49507,13230,43573,26613,22706,67875,8688,57102,6985,6188,24022,73421,140193,24022,19136,88422,7337,31462,20598,1592,8488,57980,9749,34819,172819,14804,68795,26096,24422,61660
2001,49893,13362,54008,28817,22859,72961,8562,65996,6823,6327,24713,79782,147126,24713,20765,90264,7732,33281,21047,1527,11180,70008,11062,35228,167578,15189,82126,26505,24761,80008
2006,50535,13462,55801,30331,23753,77305,8942,74472,7256,6697,24835,91579,149673,24835,23198,93003,8251,35095,20334,1580,11573,84307,12889,38361,176872,16380,93279,27955,26878,110940
2011,62296,14405,61262,35209,24965,85514,9280,89683,7605,6932,26582,106585,152406,26582,29029,95702,8598,36530,20534,1528,16714,104105,17745,40739,195702,17574,108461,32433,31549,152077
